applicant_id,name,consistency,social_trust,location_stability,months_at_address,monthly_sequence,social_references,label
1,Priyansh Soni,0.75,0.03,45,32,"[{""recharge_amount"": 357, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2916}, {""recharge_amount"": 251, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2052}, {""recharge_amount"": 329, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2686}, {""recharge_amount"": 363, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2968}, {""recharge_amount"": 343, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2799}, {""recharge_amount"": 272, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2223}, {""recharge_amount"": 271, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2218}, {""recharge_amount"": 308, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2518}, {""recharge_amount"": 345, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2818}, {""recharge_amount"": 334, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2728}, {""recharge_amount"": 294, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2402}, {""recharge_amount"": 362, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2953}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.17}, {""relationship_type"": ""guarantor"", ""trust_score"": -0.02}, {""relationship_type"": ""employer"", ""trust_score"": 0.08}]",0
2,Trisha Kashyap,0.56,0.21,44,90,"[{""recharge_amount"": 876, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2377}, {""recharge_amount"": 620, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 1682}, {""recharge_amount"": 1143, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 3103}, {""recharge_amount"": 1040, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2823}, {""recharge_amount"": 470, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 1276}, {""recharge_amount"": 494, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 1341}, {""recharge_amount"": 798, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2168}, {""recharge_amount"": 546, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 1481}, {""recharge_amount"": 749, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2032}, {""recharge_amount"": 1149, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3118}, {""recharge_amount"": 511, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 1388}, {""recharge_amount"": 555, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 1506}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.04}, {""relationship_type"": ""employer"", ""trust_score"": 0.25}, {""relationship_type"": ""employer"", ""trust_score"": 0.22}]",1
3,Damini Bala,0.9,0.01,24,88,"[{""recharge_amount"": 599, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6062}, {""recharge_amount"": 585, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5920}, {""recharge_amount"": 683, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6917}, {""recharge_amount"": 623, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6308}, {""recharge_amount"": 683, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6918}, {""recharge_amount"": 648, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6558}, {""recharge_amount"": 698, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7071}, {""recharge_amount"": 615, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6232}, {""recharge_amount"": 647, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6555}, {""recharge_amount"": 653, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6616}, {""recharge_amount"": 646, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6541}, {""recharge_amount"": 697, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 7063}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.09}, {""relationship_type"": ""neighbor"", ""trust_score"": -0.07}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.07}, {""relationship_type"": ""employer"", ""trust_score"": 0.17}]",0
4,Samar Ravel,0.47,0.06,12,76,"[{""recharge_amount"": 319, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2201}, {""recharge_amount"": 954, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6588}, {""recharge_amount"": 482, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3328}, {""recharge_amount"": 407, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2812}, {""recharge_amount"": 648, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4476}, {""recharge_amount"": 382, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2639}, {""recharge_amount"": 604, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4174}, {""recharge_amount"": 1009, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6973}, {""recharge_amount"": 828, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 5723}, {""recharge_amount"": 448, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3095}, {""recharge_amount"": 443, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3062}, {""recharge_amount"": 966, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 6675}]","[{""relationship_type"": ""guarantor"", ""trust_score"": -0.12}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.19}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.23}, {""relationship_type"": ""guarantor"", ""trust_score"": -0.07}]",0
5,Darshit Krishnan,0.45,0.4,17,22,"[{""recharge_amount"": 362, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 5486}, {""recharge_amount"": 594, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 8995}, {""recharge_amount"": 379, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5742}, {""recharge_amount"": 511, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7739}, {""recharge_amount"": 533, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8081}, {""recharge_amount"": 492, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 7460}, {""recharge_amount"": 256, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3881}, {""recharge_amount"": 725, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 10989}, {""recharge_amount"": 241, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 3652}, {""recharge_amount"": 533, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8077}, {""recharge_amount"": 329, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 4990}, {""recharge_amount"": 432, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6548}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.38}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.6}]",0
6,Hrishita Sathe,0.45,0.27,54,113,"[{""recharge_amount"": 130, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5386}, {""recharge_amount"": 208, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8633}, {""recharge_amount"": 180, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 7478}, {""recharge_amount"": 102, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4216}, {""recharge_amount"": 215, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8935}, {""recharge_amount"": 190, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7867}, {""recharge_amount"": 195, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8096}, {""recharge_amount"": 123, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 5123}, {""recharge_amount"": 156, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6461}, {""recharge_amount"": 139, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 5762}, {""recharge_amount"": 125, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5207}, {""recharge_amount"": 156, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6493}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.29}, {""relationship_type"": ""employer"", ""trust_score"": 0.3}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.24}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.19}]",1
7,Jayant Malhotra,0.86,0.86,55,27,"[{""recharge_amount"": 765, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2574}, {""recharge_amount"": 854, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2871}, {""recharge_amount"": 904, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 3042}, {""recharge_amount"": 692, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2327}, {""recharge_amount"": 778, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2618}, {""recharge_amount"": 862, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2900}, {""recharge_amount"": 695, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2337}, {""recharge_amount"": 869, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2922}, {""recharge_amount"": 870, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2925}, {""recharge_amount"": 834, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2804}, {""recharge_amount"": 879, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2958}, {""recharge_amount"": 800, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2691}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.72}, {""relationship_type"": ""employer"", ""trust_score"": 0.67}]",1
8,Priyansh Sane,0.54,0.79,65,78,"[{""recharge_amount"": 852, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9998}, {""recharge_amount"": 743, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8715}, {""recharge_amount"": 799, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9373}, {""recharge_amount"": 377, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 4419}, {""recharge_amount"": 717, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8410}, {""recharge_amount"": 509, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5968}, {""recharge_amount"": 523, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6142}, {""recharge_amount"": 446, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5238}, {""recharge_amount"": 854, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 10020}, {""recharge_amount"": 814, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9556}, {""recharge_amount"": 583, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6839}, {""recharge_amount"": 590, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6922}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.85}, {""relationship_type"": ""employer"", ""trust_score"": 0.8}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.84}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.92}]",1
9,Shamik Khurana,0.77,0.22,35,19,"[{""recharge_amount"": 153, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6127}, {""recharge_amount"": 147, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 5901}, {""recharge_amount"": 118, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4744}, {""recharge_amount"": 134, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5371}, {""recharge_amount"": 146, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5842}, {""recharge_amount"": 109, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4363}, {""recharge_amount"": 111, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 4433}, {""recharge_amount"": 142, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5706}, {""recharge_amount"": 148, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5913}, {""recharge_amount"": 128, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 5121}, {""recharge_amount"": 124, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 4953}, {""recharge_amount"": 145, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 5794}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.27}, {""relationship_type"": ""employer"", ""trust_score"": 0.2}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.13}, {""relationship_type"": ""employer"", ""trust_score"": 0.15}]",0
10,Trisha Vaidya,0.36,0.15,59,89,"[{""recharge_amount"": 228, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 1828}, {""recharge_amount"": 228, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 1831}, {""recharge_amount"": 220, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 1762}, {""recharge_amount"": 343, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2750}, {""recharge_amount"": 401, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3215}, {""recharge_amount"": 372, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2980}, {""recharge_amount"": 333, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2668}, {""recharge_amount"": 182, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 1456}, {""recharge_amount"": 202, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 1622}, {""recharge_amount"": 368, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2946}, {""recharge_amount"": 267, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2142}, {""recharge_amount"": 309, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2480}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.02}, {""relationship_type"": ""employer"", ""trust_score"": 0.1}]",0
