applicant_id,name,consistency,social_trust,location_stability,months_at_address,monthly_sequence,social_references,label,avg_recharge,recharge_stability,electricity_regularity,avg_grocery,grocery_stability,avg_recharge_freq,recharge_trend,avg_trust_score,max_trust_score,num_references,weighted_trust,has_guarantor
1,Priyansh Soni,0.75,0.03,45,32,"[{""recharge_amount"": 357, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2916}, {""recharge_amount"": 251, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2052}, {""recharge_amount"": 329, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2686}, {""recharge_amount"": 363, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2968}, {""recharge_amount"": 343, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2799}, {""recharge_amount"": 272, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2223}, {""recharge_amount"": 271, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2218}, {""recharge_amount"": 308, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2518}, {""recharge_amount"": 345, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2818}, {""recharge_amount"": 334, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2728}, {""recharge_amount"": 294, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2402}, {""recharge_amount"": 362, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2953}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.17}, {""relationship_type"": ""guarantor"", ""trust_score"": -0.02}, {""relationship_type"": ""employer"", ""trust_score"": 0.08}]",0,0.21331581234050298,0.8831256177567244,0.8333333333333334,0.1590439767561371,0.8836144146873021,2.25,0.4797588282861162,0.07666666666666667,0.17,3,0.07133333333333335,1
2,Trisha Kashyap,0.56,0.21,44,90,"[{""recharge_amount"": 876, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2377}, {""recharge_amount"": 620, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 1682}, {""recharge_amount"": 1143, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 3103}, {""recharge_amount"": 1040, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2823}, {""recharge_amount"": 470, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 1276}, {""recharge_amount"": 494, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 1341}, {""recharge_amount"": 798, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2168}, {""recharge_amount"": 546, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 1481}, {""recharge_amount"": 749, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2032}, {""recharge_amount"": 1149, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3118}, {""recharge_amount"": 511, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 1388}, {""recharge_amount"": 555, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 1506}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.04}, {""relationship_type"": ""employer"", ""trust_score"": 0.25}, {""relationship_type"": ""employer"", ""trust_score"": 0.22}]",1,0.5872390124801525,0.6731383413902731,0.6666666666666666,0.10696367200229936,0.6731254502168178,2.5833333333333335,0.3770456500578948,0.17,0.25,3,0.132,0
3,Damini Bala,0.9,0.01,24,88,"[{""recharge_amount"": 599, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6062}, {""recharge_amount"": 585, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5920}, {""recharge_amount"": 683, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6917}, {""recharge_amount"": 623, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6308}, {""recharge_amount"": 683, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6918}, {""recharge_amount"": 648, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6558}, {""recharge_amount"": 698, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7071}, {""recharge_amount"": 615, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6232}, {""recharge_amount"": 647, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6555}, {""recharge_amount"": 653, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6616}, {""recharge_amount"": 646, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6541}, {""recharge_amount"": 697, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 7063}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.09}, {""relationship_type"": ""neighbor"", ""trust_score"": -0.07}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.07}, {""relationship_type"": ""employer"", ""trust_score"": 0.17}]",0,0.5015330700818807,0.9446073279280626,0.6666666666666666,0.5130051662368434,0.9443344657483373,2.0833333333333335,0.4961240306872584,0.065,0.17,4,0.04525,0
4,Samar Ravel,0.47,0.06,12,76,"[{""recharge_amount"": 319, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2201}, {""recharge_amount"": 954, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6588}, {""recharge_amount"": 482, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3328}, {""recharge_amount"": 407, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2812}, {""recharge_amount"": 648, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4476}, {""recharge_amount"": 382, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2639}, {""recharge_amount"": 604, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4174}, {""recharge_amount"": 1009, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6973}, {""recharge_amount"": 828, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 5723}, {""recharge_amount"": 448, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3095}, {""recharge_amount"": 443, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3062}, {""recharge_amount"": 966, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 6675}]","[{""relationship_type"": ""guarantor"", ""trust_score"": -0.12}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.19}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.23}, {""relationship_type"": ""guarantor"", ""trust_score"": -0.07}]",0,0.4805811063099011,0.6132520288999965,0.8333333333333334,0.31160959897017787,0.6131172099253897,2.9166666666666665,0.4903100772026421,0.05750000000000001,0.23,4,0.03375,1
5,Darshit Krishnan,0.45,0.4,17,22,"[{""recharge_amount"": 362, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 5486}, {""recharge_amount"": 594, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 8995}, {""recharge_amount"": 379, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5742}, {""recharge_amount"": 511, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7739}, {""recharge_amount"": 533, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8081}, {""recharge_amount"": 492, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 7460}, {""recharge_amount"": 256, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3881}, {""recharge_amount"": 725, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 10989}, {""recharge_amount"": 241, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 3652}, {""recharge_amount"": 533, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8077}, {""recharge_amount"": 329, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 4990}, {""recharge_amount"": 432, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6548}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.38}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.6}]",0,0.32705504424553505,0.6951944474623715,0.6666666666666666,0.5344679771996688,0.6952884328334874,2.5,0.45951765689522983,0.49,0.6,2,0.33999999999999997,1
6,Hrishita Sathe,0.45,0.27,54,113,"[{""recharge_amount"": 130, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5386}, {""recharge_amount"": 208, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8633}, {""recharge_amount"": 180, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 7478}, {""recharge_amount"": 102, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4216}, {""recharge_amount"": 215, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8935}, {""recharge_amount"": 190, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7867}, {""recharge_amount"": 195, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8096}, {""recharge_amount"": 123, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 5123}, {""recharge_amount"": 156, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6461}, {""recharge_amount"": 139, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 5762}, {""recharge_amount"": 125, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5207}, {""recharge_amount"": 156, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6493}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.29}, {""relationship_type"": ""employer"", ""trust_score"": 0.3}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.24}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.19}]",1,0.07387939838760746,0.7775554078807065,0.4166666666666667,0.5196848045219047,0.7774280498358285,2.1666666666666665,0.4472437550943732,0.255,0.3,4,0.24,1
7,Jayant Malhotra,0.86,0.86,55,27,"[{""recharge_amount"": 765, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2574}, {""recharge_amount"": 854, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2871}, {""recharge_amount"": 904, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 3042}, {""recharge_amount"": 692, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2327}, {""recharge_amount"": 778, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2618}, {""recharge_amount"": 862, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2900}, {""recharge_amount"": 695, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2337}, {""recharge_amount"": 869, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2922}, {""recharge_amount"": 870, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2925}, {""recharge_amount"": 834, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2804}, {""recharge_amount"": 879, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2958}, {""recharge_amount"": 800, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2691}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.72}, {""relationship_type"": ""employer"", ""trust_score"": 0.67}]",1,0.6493648702151862,0.916643981977536,0.6666666666666666,0.1716279381681723,0.916595948640033,2.8333333333333335,0.46619293682201146,0.6950000000000001,0.72,2,0.556,0
8,Priyansh Sane,0.54,0.79,65,78,"[{""recharge_amount"": 852, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9998}, {""recharge_amount"": 743, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8715}, {""recharge_amount"": 799, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9373}, {""recharge_amount"": 377, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 4419}, {""recharge_amount"": 717, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8410}, {""recharge_amount"": 509, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5968}, {""recharge_amount"": 523, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6142}, {""recharge_amount"": 446, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5238}, {""recharge_amount"": 854, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 10020}, {""recharge_amount"": 814, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9556}, {""recharge_amount"": 583, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6839}, {""recharge_amount"": 590, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6922}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.85}, {""relationship_type"": ""employer"", ""trust_score"": 0.8}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.84}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.92}]",1,0.5037231708245964,0.7549912837185244,0.5833333333333334,0.6087193134934311,0.7549481153357274,2.5,0.38070628743709767,0.8524999999999999,0.92,4,0.7075,1
9,Shamik Khurana,0.77,0.22,35,19,"[{""recharge_amount"": 153, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6127}, {""recharge_amount"": 147, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 5901}, {""recharge_amount"": 118, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4744}, {""recharge_amount"": 134, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5371}, {""recharge_amount"": 146, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 5842}, {""recharge_amount"": 109, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4363}, {""recharge_amount"": 111, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 4433}, {""recharge_amount"": 142, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 5706}, {""recharge_amount"": 148, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 5913}, {""recharge_amount"": 128, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 5121}, {""recharge_amount"": 124, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 4953}, {""recharge_amount"": 145, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 5794}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.27}, {""relationship_type"": ""employer"", ""trust_score"": 0.2}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.13}, {""relationship_type"": ""employer"", ""trust_score"": 0.15}]",0,0.05095634394718381,0.8899416150283578,0.6666666666666666,0.4049605259852874,0.8897646705771904,2.4166666666666665,0.4638242891060567,0.18750000000000003,0.27,4,0.14025,0
10,Trisha Vaidya,0.36,0.15,59,89,"[{""recharge_amount"": 228, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 1828}, {""recharge_amount"": 228, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 1831}, {""recharge_amount"": 220, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 1762}, {""recharge_amount"": 343, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2750}, {""recharge_amount"": 401, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3215}, {""recharge_amount"": 372, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2980}, {""recharge_amount"": 333, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2668}, {""recharge_amount"": 182, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 1456}, {""recharge_amount"": 202, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 1622}, {""recharge_amount"": 368, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2946}, {""recharge_amount"": 267, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2142}, {""recharge_amount"": 309, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2480}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.02}, {""relationship_type"": ""employer"", ""trust_score"": 0.1}]",0,0.18586654969846703,0.7489711141862929,0.08333333333333333,0.13219868940735816,0.749206524276923,2.8333333333333335,0.5260551245525054,0.060000000000000005,0.1,2,0.04800000000000001,0
